,k-means,eac_al,monti,monti_tuned,eac_al_tuned
0,118.82649,46.88844,118.82649,118.81806,118.82649
1,242.35405,205.12951,236.54844,225.3439,199.78044
2,1300.20823,1283.21959,1218.17618,1576.60006,218.5953
3,375.80496,275.90502,350.91841,350.2584,350.99458
4,1423.67411,521.37979,522.31626,1423.6548,1212.5878
5,239.92366,187.27836,69.24735,192.82404,245.90896
6,192.3592,309.70176,192.3592,199.23708,439.12132
7,136.28627,106.66633,154.34476,157.5162,157.5162
8,964.27252,725.1796,103.96946,963.76368,675.77834
9,560.39992,446.96898,428.80334,513.30384,513.30384
10,3118.85566,906.34365,820.73437,1510.54859,1548.90538
11,375.80496,274.41277,351.09161,351.11175,351.17999
12,124.2657,97.11945,135.24132,134.99797,134.99797
13,171.68462,173.11572,171.68462,171.68462,171.68462
14,149.40171,129.58885,21.07607,170.9561,157.42734
15,15.37301,11.43471,17.64289,10.71097,9.98562
16,281.24339,224.95043,427.53774,85.35796,96.20897
17,210.14215,164.93383,171.68462,156.56158,207.81968
18,561.81566,401.33235,138.02401,505.42931,505.42931
19,166.10461,145.89625,3.24968,58.03013,155.30126
