,k-means,eac_al,monti,monti_tuned,eac_al_tuned
0,0.29941,0.15322,0.23941,0.28896,0.29941
1,0.00475,0.00423,0.00318,0.00267,0.002
2,0.00042,0.00045,0.00041,0.00044,0.00044
3,0.05087,0.11085,0.18118,0.19098,0.195
4,0.03477,0.0214,0.03474,0.03496,0.00919
5,0.01538,0.00771,0.01143,0.0089,0.00527
6,0.00429,0.00193,0.00429,0.00303,0.00362
7,0.01253,0.00819,0.01426,0.01153,0.01153
8,0.002,0.00127,0.00154,0.00188,0.00169
9,0.31491,0.11494,0.1759,0.1759,0.1759
10,0.007,0.00228,0.00421,0.00403,0.00354
11,0.05087,0.11083,0.19422,0.16047,0.15541
12,0.09385,0.0557,0.08402,0.07307,0.07307
13,1e-05,1e-05,1e-05,1e-05,1e-05
14,0.32148,0.28626,0.16922,0.48296,0.51111
15,0.00531,0.00488,0.00822,0.00411,0.00415
16,0.16114,0.15363,0.21454,0.60304,0.60367
17,1e-05,1e-05,1e-05,1e-05,0.0
18,0.00112,0.00193,0.00095,0.00182,0.00182
19,0.16275,0.16595,0.17269,0.19678,0.18193
