,k-means,eac_al,monti,monti_tuned,eac_al_tuned
0,21.33299,6.95937,21.33299,21.13586,21.33299
1,0.04725,0.0409,0.63536,0.2199,0.32097
2,0.08856,0.01431,0.08945,0.77821,0.77821
3,1.13488,0.50334,2.50723,2.78981,2.7227
4,42.30705,6.28665,42.289,42.2536,6.03823
5,1.02603,0.216,6.5586,0.90438,0.56844
6,0.5613,0.01865,0.5613,0.44494,0.01083
7,0.23996,0.13251,0.76699,0.39176,0.39176
8,1.20819,0.1531,27.31812,3.57504,3.56902
9,1.44249,1.27707,3.93634,3.93634,3.93634
10,0.41488,1.05217,6.81485,16.89057,16.29968
11,1.13488,0.50857,2.63774,2.46367,2.39868
12,0.12481,0.18038,1.36684,0.698,0.698
13,0.00734,0.00026,0.00734,0.00734,0.00734
14,74.01489,48.69893,344.9944,60.6002,54.55794
15,0.10305,0.03576,0.27853,0.03705,0.01556
16,347.1712,314.49037,2104.28739,102434.705,77434.4014
17,0.00257,0.00025,0.00734,0.00973,0.00106
18,0.01331,0.00592,0.41756,0.04268,0.04268
19,14.08784,9.95985,4103.77216,2033.12735,2033.12735
