,k-means,eac_al,monti,monti_tuned,eac_al_tuned
0,0.29597,0.15633,0.29597,0.29579,0.29597
1,0.44942,0.26048,0.31445,0.42798,0.39212
2,0.69726,0.40775,0.6973,0.75813,0.72046
3,0.47193,0.35257,0.52089,0.52629,0.52509
4,0.43229,0.37714,0.43233,0.43217,0.38907
5,0.39897,0.26703,0.17334,0.39175,0.36693
6,0.70397,0.46399,0.70397,0.61575,0.52587
7,0.34268,0.28477,0.38464,0.37956,0.37956
8,0.56879,0.27251,0.2093,0.68639,0.68063
9,0.55259,0.35687,0.51002,0.68081,0.68081
10,0.44701,0.29999,0.60369,0.5704,0.57263
11,0.47193,0.34265,0.52277,0.51955,0.51829
12,0.44896,0.24888,0.5604,0.58224,0.58224
13,0.51153,0.26405,0.51153,0.51153,0.51153
14,0.25721,0.26337,0.00781,0.42421,0.42397
15,0.14172,0.14775,0.13615,0.13787,0.16527
16,0.18102,0.14911,0.26332,0.59491,0.59758
17,0.47796,0.25312,0.51153,0.47979,0.38663
18,0.57114,0.49077,0.23957,0.65685,0.65685
19,0.19342,0.19408,-0.09702,0.22351,0.19835
