,k-means,eac_al,mv,monti,mv_tuned,rs_mv_tuned,monti_tuned,eac_al_tuned
0,1192.359,1192.359,1192.359,108.304,1192.359,1192.359,1192.359,1192.359
1,2051.468,2051.468,2051.468,368.768,2051.468,2051.468,2051.468,2051.468
2,1982.02,1982.02,1982.02,187.86,1982.02,1982.02,1982.02,1982.02
3,1417.038,1417.038,1417.038,170.281,1417.038,1417.038,1417.038,1417.038
4,948.555,948.555,911.313,419.117,948.555,948.555,948.555,948.555
5,2167.167,2085.891,1370.853,447.904,447.904,447.904,447.904,447.904
6,1584.655,1581.636,1495.64,446.721,1351.323,808.214,1351.312,1351.323
7,1450.005,1450.005,1450.005,739.974,890.3,844.288,894.601,1202.687
8,1414.845,1414.845,1414.845,207.945,1414.845,1414.845,1414.845,1414.845
9,2710.214,2699.31,2461.855,344.451,973.46,973.46,973.46,973.46
10,1161.512,1129.798,1002.108,289.92,946.369,946.369,946.369,946.369
11,1628.471,1628.471,1628.471,155.212,1628.471,1628.471,1628.471,1628.471
12,2253.106,2253.106,2253.106,290.224,2253.106,2253.106,2253.106,2253.106
13,1340.754,1340.754,1340.754,182.973,1340.754,1340.754,1340.754,1340.754
14,1872.136,1872.136,1872.136,228.161,1872.136,1872.136,1872.136,1872.136
15,1479.762,1479.762,1479.762,134.035,1479.762,1479.762,1479.762,1479.762
16,1701.967,1701.967,1701.967,620.104,1701.967,1701.967,1701.967,1701.967
17,1957.694,1957.694,1957.694,225.37,1957.694,1957.694,1957.694,1957.694
18,1466.551,1466.551,1466.551,173.204,1466.551,1466.551,1466.551,1466.551
19,1811.132,1811.132,1811.132,206.883,1002.623,1811.132,1649.43,1002.623
20,1292.884,1292.884,570.583,1292.884,1292.884,1292.884,1292.884,1292.884
21,1943.639,1943.639,1788.672,371.016,1943.639,1943.639,1943.639,1943.639
22,1602.431,1602.431,1602.431,229.937,1602.431,1602.431,1602.431,1602.431
23,1739.846,1739.846,1739.846,150.86,1739.846,1739.846,1739.846,1739.846
24,1672.584,1672.584,1672.584,142.923,1672.584,1672.584,1672.584,1672.584
25,1490.485,1490.485,1490.485,145.701,1490.485,1490.485,1490.485,1490.485
26,2138.214,2138.214,2138.214,248.661,2138.214,2138.214,2138.214,2138.214
27,2941.841,2677.178,1693.516,2941.841,2941.841,2941.841,2941.841,2941.841
28,1042.711,1042.711,1042.711,174.498,1042.711,1042.711,1042.711,1042.711
29,2315.28,2315.28,2315.28,213.512,2315.28,2315.28,2315.28,2315.28
30,2340.141,2340.141,2340.141,190.422,2340.141,2340.141,2340.141,2340.141
31,1595.806,1595.806,1595.806,208.533,1595.806,1595.806,1595.806,1595.806
32,2185.349,864.887,1997.394,2185.349,2185.349,2185.349,2185.349,2185.349
33,1469.017,1469.017,1469.017,149.064,1469.017,1469.017,1469.017,1469.017
34,1342.822,1342.822,1342.822,261.938,770.014,770.014,1131.52,770.014
35,1598.645,1598.645,1510.459,363.847,1598.645,1598.645,1598.645,1598.645
36,1235.138,1235.138,1108.254,362.648,1143.392,1143.392,1143.392,1143.392
37,1464.312,1392.8,915.404,433.638,1276.671,1276.671,1276.671,1276.671
38,2448.814,2448.814,2448.814,212.82,2448.814,2448.814,2448.814,2448.814
39,1461.341,1400.569,1154.127,299.959,765.856,765.856,765.856,765.856
40,345.679,345.679,276.669,345.679,345.679,345.679,345.679,345.679
41,1082.949,932.568,586.989,346.323,600.195,600.195,600.195,600.195
42,1675.341,1675.341,1358.137,643.26,1675.341,1675.341,1675.341,1675.341
43,2063.379,2063.379,2063.379,197.675,2063.379,2063.379,2063.379,2063.379
44,1344.724,1344.724,1344.724,166.272,1344.724,1344.724,1344.724,1344.724
45,2795.407,2368.587,2795.407,2795.407,2795.407,2795.407,2795.407,2795.407
46,1641.87,1641.87,1641.87,183.709,1641.87,1641.87,1641.87,1641.87
47,1592.856,1592.856,1592.856,235.478,1592.856,218.307,1592.856,1592.856
48,1486.799,1486.799,1486.799,140.206,1486.799,1486.799,1486.799,1486.799
49,1359.333,1359.333,1359.333,153.318,1359.333,1359.333,1359.333,1359.333
50,952.577,414.412,858.7,952.577,952.577,952.577,952.577,952.577
51,825.583,825.583,825.583,183.81,825.583,825.583,825.583,825.583
52,1509.172,1509.172,1509.172,225.974,1509.172,1509.172,1509.172,1509.172
53,1942.152,1942.152,1437.375,422.118,1942.152,1175.056,1942.152,1942.152
54,2736.668,2736.668,2414.19,187.258,2736.668,2736.668,2736.668,2736.668
55,1990.978,1990.978,1990.978,197.72,1990.978,1990.978,1990.978,1990.978
56,1795.029,1795.029,1795.029,136.877,1795.029,1795.029,1795.029,1795.029
57,521.845,270.789,521.845,521.845,521.845,521.845,521.845,521.845
58,1752.357,1752.357,1752.357,508.63,1752.357,1752.357,1752.357,1752.357
59,1715.703,1715.703,1715.703,175.41,1715.703,1715.703,1715.703,1715.703
60,2027.408,2027.408,2027.408,194.042,2027.408,2027.408,2027.408,2027.408
61,1664.921,1664.921,1664.921,204.53,1664.921,1664.921,1664.921,1664.921
