,k-means,eac_al,mv,monti,mv_tuned,rs_mv_tuned,monti_tuned,eac_al_tuned
0,0.063,0.063,0.063,0.052,0.063,0.063,0.063,0.063
1,0.075,0.075,0.075,0.043,0.075,0.075,0.075,0.075
2,0.089,0.089,0.089,0.031,0.089,0.089,0.089,0.089
3,0.104,0.104,0.104,0.041,0.104,0.104,0.104,0.104
4,0.063,0.063,0.062,0.065,0.063,0.063,0.063,0.063
5,0.02,0.012,0.033,0.036,0.036,0.036,0.036,0.036
6,0.038,0.042,0.049,0.046,0.064,0.025,0.065,0.064
7,0.073,0.073,0.073,0.046,0.059,0.056,0.059,0.066
8,0.075,0.075,0.075,0.037,0.075,0.075,0.075,0.075
9,0.034,0.031,0.03,0.024,0.009,0.009,0.009,0.009
10,0.043,0.043,0.031,0.037,0.028,0.028,0.028,0.028
11,0.062,0.062,0.062,0.042,0.062,0.062,0.062,0.062
12,0.074,0.074,0.074,0.038,0.074,0.074,0.074,0.074
13,0.062,0.062,0.062,0.051,0.062,0.062,0.062,0.062
14,0.053,0.053,0.053,0.047,0.053,0.053,0.053,0.053
15,0.084,0.084,0.084,0.057,0.084,0.084,0.084,0.084
16,0.1,0.1,0.1,0.074,0.1,0.1,0.1,0.1
17,0.083,0.083,0.083,0.043,0.083,0.083,0.083,0.083
18,0.064,0.064,0.064,0.043,0.064,0.064,0.064,0.064
19,0.048,0.048,0.048,0.046,0.026,0.048,0.043,0.026
20,0.158,0.158,0.146,0.158,0.158,0.158,0.158,0.158
21,0.036,0.036,0.033,0.052,0.036,0.036,0.036,0.036
22,0.068,0.068,0.068,0.027,0.068,0.068,0.068,0.068
23,0.112,0.112,0.112,0.04,0.112,0.112,0.112,0.112
24,0.085,0.085,0.085,0.04,0.085,0.085,0.085,0.085
25,0.092,0.092,0.092,0.042,0.092,0.092,0.092,0.092
26,0.019,0.019,0.019,0.013,0.019,0.019,0.019,0.019
27,0.125,0.114,0.097,0.125,0.125,0.125,0.125,0.125
28,0.058,0.058,0.058,0.044,0.058,0.058,0.058,0.058
29,0.029,0.029,0.029,0.034,0.029,0.029,0.029,0.029
30,0.056,0.056,0.056,0.033,0.056,0.056,0.056,0.056
31,0.151,0.151,0.151,0.04,0.151,0.151,0.151,0.151
32,0.128,0.07,0.125,0.128,0.128,0.128,0.128,0.128
33,0.091,0.091,0.091,0.02,0.091,0.091,0.091,0.091
34,0.079,0.079,0.079,0.041,0.053,0.053,0.054,0.053
35,0.075,0.075,0.075,0.029,0.075,0.075,0.075,0.075
36,0.022,0.022,0.016,0.045,0.009,0.009,0.009,0.009
37,0.015,0.017,0.007,0.023,0.013,0.013,0.013,0.013
38,0.062,0.062,0.062,0.042,0.062,0.062,0.062,0.062
39,0.025,0.021,0.019,0.033,0.011,0.011,0.011,0.011
40,0.189,0.189,0.166,0.189,0.189,0.189,0.189,0.189
41,0.012,0.01,0.018,0.05,0.029,0.029,0.029,0.029
42,0.11,0.11,0.089,0.078,0.11,0.11,0.11,0.11
43,0.092,0.092,0.092,0.034,0.092,0.092,0.092,0.092
44,0.05,0.05,0.05,0.044,0.05,0.05,0.05,0.05
45,0.14,0.124,0.14,0.14,0.14,0.14,0.14,0.14
46,0.052,0.052,0.052,0.027,0.052,0.052,0.052,0.052
47,0.043,0.043,0.043,0.04,0.043,0.019,0.043,0.043
48,0.096,0.096,0.096,0.048,0.096,0.096,0.096,0.096
49,0.102,0.102,0.102,0.037,0.102,0.102,0.102,0.102
50,0.095,0.051,0.096,0.095,0.095,0.095,0.095,0.095
51,0.088,0.088,0.088,0.068,0.088,0.088,0.088,0.088
52,0.088,0.088,0.088,0.032,0.088,0.088,0.088,0.088
53,0.079,0.079,0.073,0.073,0.079,0.041,0.079,0.079
54,0.094,0.094,0.099,0.039,0.094,0.094,0.094,0.094
55,0.101,0.101,0.101,0.03,0.101,0.101,0.101,0.101
56,0.079,0.079,0.079,0.034,0.079,0.079,0.079,0.079
57,0.093,0.017,0.093,0.093,0.093,0.093,0.093,0.093
58,0.057,0.057,0.057,0.065,0.057,0.057,0.057,0.057
59,0.048,0.048,0.048,0.04,0.048,0.048,0.048,0.048
60,0.064,0.064,0.064,0.029,0.064,0.064,0.064,0.064
61,0.038,0.038,0.038,0.029,0.038,0.038,0.038,0.038
