,k-means,eac_al,mv,monti,mv_tuned,rs_mv_tuned,monti_tuned,eac_al_tuned
0,0.0,0.0,0.0,3.249,0.0,0.0,0.0,0.0
1,0.006,0.006,0.006,12.105,0.006,0.006,0.006,0.006
2,0.0,0.0,0.0,6.513,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,5.308,0.0,0.0,0.0,0.0
4,0.222,0.222,0.26,1.449,0.222,0.222,0.222,0.222
5,1.486,1.017,0.835,27.525,27.525,27.525,27.525,27.525
6,1.292,1.146,0.342,2.177,0.162,0.589,0.161,0.162
7,0.338,0.338,0.338,2.839,0.204,0.086,0.187,0.227
8,0.008,0.008,0.008,7.033,0.008,0.008,0.008,0.008
9,0.267,0.248,0.229,3.889,0.157,0.157,0.157,0.157
10,1.281,1.199,1.514,9.021,1.559,1.559,1.559,1.559
11,0.0,0.0,0.0,8.399,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,3.233,0.0,0.0,0.0,0.0
13,0.045,0.045,0.045,18.902,0.045,0.045,0.045,0.045
14,0.048,0.048,0.048,8.257,0.048,0.048,0.048,0.048
15,0.0,0.0,0.0,2.796,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0
17,0.124,0.124,0.124,9.879,0.124,0.124,0.124,0.124
18,0.153,0.153,0.153,12.349,0.153,0.153,0.153,0.153
19,0.043,0.043,0.043,5.65,0.006,0.043,0.036,0.006
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.3,0.3,0.3,4.572,0.3,0.3,0.3,0.3
22,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,7.607,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,8.076,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,7.499,0.0,0.0,0.0,0.0
26,0.051,0.051,0.051,6.911,0.051,0.051,0.051,0.051
27,0.0,0.06,0.007,0.0,0.0,0.0,0.0,0.0
28,0.129,0.129,0.129,6.996,0.129,0.129,0.129,0.129
29,0.0,0.0,0.0,7.291,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,8.053,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,2.762,0.0,0.0,0.0,0.0
32,0.0,0.488,0.076,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0
34,0.466,0.466,0.466,11.99,0.159,0.159,0.101,0.159
35,0.0,0.0,0.037,3.053,0.0,0.0,0.0,0.0
36,0.844,0.844,0.301,12.22,0.329,0.329,0.329,0.329
37,1.911,1.85,2.183,17.212,1.633,1.633,1.633,1.633
38,0.0,0.0,0.0,2.486,0.0,0.0,0.0,0.0
39,0.921,0.743,0.533,16.889,1.182,1.182,1.182,1.182
40,0.064,0.064,0.043,0.064,0.064,0.064,0.064,0.064
41,2.357,1.486,3.544,21.993,6.273,6.273,6.273,6.273
42,0.041,0.041,0.063,2.131,0.041,0.041,0.041,0.041
43,0.0,0.0,0.0,11.181,0.0,0.0,0.0,0.0
44,0.005,0.005,0.005,8.809,0.005,0.005,0.005,0.005
45,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0
46,0.004,0.004,0.004,8.182,0.004,0.004,0.004,0.004
47,0.156,0.156,0.156,11.528,0.156,4.298,0.156,0.156
48,0.0,0.0,0.0,9.418,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,5.608,0.0,0.0,0.0,0.0
50,0.055,0.622,0.045,0.055,0.055,0.055,0.055,0.055
51,0.068,0.068,0.068,7.448,0.068,0.068,0.068,0.068
52,0.022,0.022,0.022,8.725,0.022,0.022,0.022,0.022
53,0.031,0.031,0.036,3.259,0.031,0.015,0.031,0.031
54,0.0,0.0,0.051,4.102,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,7.364,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,3.049,0.0,0.0,0.0,0.0
57,0.12,0.823,0.12,0.12,0.12,0.12,0.12,0.12
58,0.25,0.25,0.25,7.538,0.25,0.25,0.25,0.25
59,0.0,0.0,0.0,9.961,0.0,0.0,0.0,0.0
60,0.043,0.043,0.043,23.955,0.043,0.043,0.043,0.043
61,0.028,0.028,0.028,12.774,0.028,0.028,0.028,0.028
