,k-means,eac_al,mv,monti,mv_tuned,rs_mv_tuned,monti_tuned,eac_al_tuned
0,0.795,0.795,0.795,0.421,0.795,0.795,0.795,0.795
1,0.751,0.751,0.751,0.443,0.751,0.751,0.751,0.751
2,0.785,0.785,0.785,0.344,0.785,0.785,0.785,0.785
3,0.774,0.774,0.774,0.434,0.774,0.774,0.774,0.774
4,0.665,0.665,0.645,0.581,0.665,0.665,0.665,0.665
5,0.556,0.553,0.664,0.643,0.643,0.643,0.643,0.643
6,0.556,0.555,0.689,0.564,0.695,0.689,0.695,0.695
7,0.627,0.627,0.627,0.663,0.659,0.648,0.676,0.633
8,0.76,0.76,0.76,0.466,0.76,0.76,0.76,0.76
9,0.712,0.711,0.689,0.556,0.723,0.723,0.723,0.723
10,0.583,0.569,0.588,0.413,0.591,0.591,0.591,0.591
11,0.784,0.784,0.784,0.516,0.784,0.784,0.784,0.784
12,0.785,0.785,0.785,0.528,0.785,0.785,0.785,0.785
13,0.718,0.718,0.718,0.371,0.718,0.718,0.718,0.718
14,0.732,0.732,0.732,0.349,0.732,0.732,0.732,0.732
15,0.805,0.805,0.805,0.46,0.805,0.805,0.805,0.805
16,0.757,0.757,0.757,0.734,0.757,0.757,0.757,0.757
17,0.759,0.759,0.759,0.557,0.759,0.759,0.759,0.759
18,0.704,0.704,0.704,0.385,0.704,0.704,0.704,0.704
19,0.742,0.742,0.742,0.438,0.744,0.742,0.743,0.744
20,0.813,0.813,0.505,0.813,0.813,0.813,0.813,0.813
21,0.703,0.703,0.697,0.56,0.703,0.703,0.703,0.703
22,0.755,0.755,0.755,0.406,0.755,0.755,0.755,0.755
23,0.791,0.791,0.791,0.39,0.791,0.791,0.791,0.791
24,0.795,0.795,0.795,0.373,0.795,0.795,0.795,0.795
25,0.784,0.784,0.784,0.319,0.784,0.784,0.784,0.784
26,0.776,0.776,0.776,0.517,0.776,0.776,0.776,0.776
27,0.876,0.806,0.526,0.876,0.876,0.876,0.876,0.876
28,0.695,0.695,0.695,0.398,0.695,0.695,0.695,0.695
29,0.786,0.786,0.786,0.402,0.786,0.786,0.786,0.786
30,0.811,0.811,0.811,0.562,0.811,0.811,0.811,0.811
31,0.813,0.813,0.813,0.606,0.813,0.813,0.813,0.813
32,0.856,0.335,0.792,0.856,0.856,0.856,0.856,0.856
33,0.772,0.772,0.772,0.372,0.772,0.772,0.772,0.772
34,0.653,0.653,0.653,0.445,0.673,0.673,0.686,0.673
35,0.783,0.783,0.747,0.666,0.783,0.783,0.783,0.783
36,0.626,0.626,0.635,0.452,0.65,0.65,0.65,0.65
37,0.517,0.495,0.566,0.432,0.58,0.58,0.58,0.58
38,0.849,0.849,0.849,0.626,0.849,0.849,0.849,0.849
39,0.584,0.569,0.595,0.407,0.609,0.609,0.609,0.609
40,0.65,0.65,0.516,0.65,0.65,0.65,0.65,0.65
41,0.529,0.461,0.581,0.503,0.603,0.603,0.603,0.603
42,0.753,0.753,0.622,0.74,0.753,0.753,0.753,0.753
43,0.772,0.772,0.772,0.396,0.772,0.772,0.772,0.772
44,0.759,0.759,0.759,0.386,0.759,0.759,0.759,0.759
45,0.876,0.743,0.876,0.876,0.876,0.876,0.876,0.876
46,0.772,0.772,0.772,0.336,0.772,0.772,0.772,0.772
47,0.694,0.694,0.694,0.363,0.694,0.399,0.694,0.694
48,0.757,0.757,0.757,0.315,0.757,0.757,0.757,0.757
49,0.788,0.788,0.788,0.415,0.788,0.788,0.788,0.788
50,0.792,0.357,0.735,0.792,0.792,0.792,0.792,0.792
51,0.695,0.695,0.695,0.503,0.695,0.695,0.695,0.695
52,0.739,0.739,0.739,0.336,0.739,0.739,0.739,0.739
53,0.791,0.791,0.646,0.664,0.791,0.533,0.791,0.791
54,0.867,0.867,0.777,0.619,0.867,0.867,0.867,0.867
55,0.774,0.774,0.774,0.329,0.774,0.774,0.774,0.774
56,0.818,0.818,0.818,0.464,0.818,0.818,0.818,0.818
57,0.728,0.358,0.728,0.728,0.728,0.728,0.728,0.728
58,0.691,0.691,0.691,0.674,0.691,0.691,0.691,0.691
59,0.78,0.78,0.78,0.334,0.78,0.78,0.78,0.78
60,0.749,0.749,0.749,0.357,0.749,0.749,0.749,0.749
61,0.739,0.739,0.739,0.356,0.739,0.739,0.739,0.739
