k-means,lwea,monti,monti_fixed,mv
[  6.69496673e-01   3.56045479e+02   1.64026892e-01   6.76058375e-01],[  0.21880977  26.15894098   0.06259769  41.79190321],[  6.69496673e-01   3.56045479e+02   1.64026892e-01   6.76058375e-01],[  6.69496673e-01   3.56045479e+02   1.64026892e-01   6.76058375e-01],[  4.81550798e-01   2.26440752e+02   8.47485003e-02   5.78760911e-01]
[  9.00388023e-01   3.98391995e+03   1.59646103e-01   0.00000000e+00],[  2.28713425e-01   3.82313704e+01   1.07699289e-02   4.14964925e+01],[  9.00388023e-01   3.98391995e+03   1.59646103e-01   0.00000000e+00],[  9.00388023e-01   3.98391995e+03   1.59646103e-01   0.00000000e+00],[  3.95487130e-01   1.52485816e+03   4.35118820e-02   2.22761422e-01]
[  8.71612465e-01   2.42467392e+03   4.94823430e-02   0.00000000e+00],[  2.42202574e-01   3.76908133e+01   2.81873402e-02   4.03863742e+01],[  8.71612465e-01   2.42467392e+03   4.94823430e-02   0.00000000e+00],[  8.71612465e-01   2.42467392e+03   4.94823430e-02   0.00000000e+00],[  4.79784033e-01   1.10676514e+03   3.81004819e-02   4.43032713e-01]
[  8.79076481e-01   2.67963367e+03   1.14715010e-01   0.00000000e+00],[  2.48129792e-01   3.98130038e+01   3.47314570e-02   2.88451393e+01],[  8.79076481e-01   2.67963367e+03   1.14715010e-01   0.00000000e+00],[  8.79076481e-01   2.67963367e+03   1.14715010e-01   0.00000000e+00],[  6.53925264e-01   1.75687035e+03   7.41303966e-02   2.04650205e-01]
[  0.41236776  93.42563992   0.09538382   2.21145859],[  0.12795016  10.81165277   0.0257165    7.00359521],[  0.41236776  93.42563992   0.09538382   2.21145859],[  0.411991    93.39365159   0.09776106   2.15687491],[  0.21863207  32.3263771    0.07335975  10.00371268]
[  7.14805426e-01   5.04834065e+02   1.64235813e-01   5.69164371e-01],[  3.82886500e-01   9.34491422e+01   2.77248908e-02   1.91667494e+01],[  7.14805426e-01   5.04834065e+02   1.64235813e-01   5.69164371e-01],[  7.14805426e-01   5.04834065e+02   1.64235813e-01   5.69164371e-01],[  2.82370770e-01   2.39348778e+02   2.72688950e-02   5.20241811e-01]
[  8.16228592e-01   1.18648922e+03   3.63570955e-02   8.18562276e-02],[  5.19593627e-01   1.44395940e+02   3.84077421e-02   8.71779590e+00],[  8.16228592e-01   1.18648922e+03   3.63570955e-02   8.18562276e-02],[  8.16228592e-01   1.18648922e+03   3.63570955e-02   8.18562276e-02],[  6.73668111e-01   8.92091149e+02   4.44442799e-02   2.14796325e-01]
[  0.41744233  85.53040267   0.14325769   3.51023434],[ -0.02694781   0.11787093   0.02113724  13.62615779],[  0.41744233  85.53040267   0.14325769   3.51023434],[  0.41699116  85.51656252   0.14212204   3.49082026],[  0.17854294  46.76195039   0.07128346   2.24578357]
[  6.19875053e-01   2.31705351e+03   8.95597047e-02   8.82376009e-01],[  2.82705977e-01   5.87008326e+01   8.64366848e-03   6.24193726e+00],[  8.50349587e-01   2.29870540e+03   2.58789414e-02   2.64993634e-01],[  6.19875053e-01   2.31705351e+03   8.95597047e-02   8.82376009e-01],[  7.25949934e-01   1.64434775e+03   3.67895462e-02   3.53297880e-01]
[  7.42604035e-01   7.14761440e+02   3.86719363e-02   1.59824565e-01],[  3.62005018e-01   1.08771174e+02   3.11602813e-02   3.39997685e+00],[  5.47720574e-01   1.64921615e+02   5.91980014e-02   5.01815608e+00],[  7.42604035e-01   7.14761440e+02   3.86719363e-02   1.59824565e-01],[  7.42604035e-01   7.14761440e+02   3.86719363e-02   1.59824565e-01]
