k-means,lwea_with_known_n_clusters,monti,monti_fixed,monti_hierarchical,mv
[  7.62530098e-01   7.10161003e+02   1.40724581e-01   1.77123560e-01],[  7.62530098e-01   7.10161003e+02   1.40724581e-01   1.77123560e-01],[  7.62530098e-01   7.10161003e+02   1.40724581e-01   1.77123560e-01],[  7.62530098e-01   7.10161003e+02   1.40724581e-01   1.77123560e-01],[  7.62530098e-01   7.10161003e+02   1.40724581e-01   1.77123560e-01],[  3.02032768e-01   3.02037475e+02   2.55125007e-02   8.94425728e-01]
[  8.62796885e-01   2.26129747e+03   1.00112691e-01   0.00000000e+00],[  8.62796885e-01   2.26129747e+03   1.00112691e-01   0.00000000e+00],[  8.62796885e-01   2.26129747e+03   1.00112691e-01   0.00000000e+00],[  8.62796885e-01   2.26129747e+03   1.00112691e-01   0.00000000e+00],[  8.62796885e-01   2.26129747e+03   1.00112691e-01   0.00000000e+00],[  5.90701304e-01   1.36987362e+03   1.02700213e-01   1.99041204e-01]
[  8.11652318e-01   1.22769196e+03   1.44302054e-01   0.00000000e+00],[  8.11652318e-01   1.22769196e+03   1.44302054e-01   0.00000000e+00],[  8.11652318e-01   1.22769196e+03   1.44302054e-01   0.00000000e+00],[  8.11652318e-01   1.22769196e+03   1.44302054e-01   0.00000000e+00],[  8.11652318e-01   1.22769196e+03   1.44302054e-01   0.00000000e+00],[  6.80749697e-01   9.89476015e+02   1.33332407e-01   1.67471575e-02]
[  8.45967157e-01   1.89253384e+03   1.49143109e-01   0.00000000e+00],[  8.45967157e-01   1.89253384e+03   1.49143109e-01   0.00000000e+00],[  8.45967157e-01   1.89253384e+03   1.49143109e-01   0.00000000e+00],[  8.45967157e-01   1.89253384e+03   1.49143109e-01   0.00000000e+00],[  8.45967157e-01   1.89253384e+03   1.49143109e-01   0.00000000e+00],[  3.35534865e-01   8.90166246e+02   1.11277969e-01   3.90732647e-02]
[  7.41127652e-01   6.59437424e+02   1.92627415e-01   0.00000000e+00],[  7.41127652e-01   6.59437424e+02   1.92627415e-01   0.00000000e+00],[  7.41127652e-01   6.59437424e+02   1.92627415e-01   0.00000000e+00],[  7.41127652e-01   6.59437424e+02   1.92627415e-01   0.00000000e+00],[  7.41127652e-01   6.59437424e+02   1.92627415e-01   0.00000000e+00],[  5.64646055e-01   4.58508668e+02   1.40546962e-01   1.09330990e-01]
[  8.04524084e-01   1.18307497e+03   5.52529428e-02   0.00000000e+00],[  8.04524084e-01   1.18307497e+03   5.52529428e-02   0.00000000e+00],[  8.04524084e-01   1.18307497e+03   5.52529428e-02   0.00000000e+00],[  8.04524084e-01   1.18307497e+03   5.52529428e-02   0.00000000e+00],[  8.04524084e-01   1.18307497e+03   5.52529428e-02   0.00000000e+00],[  6.69086086e-01   9.66455478e+02   8.17542710e-02   1.98769765e-01]
[  7.84942944e-01   9.85717579e+02   9.38196093e-02   0.00000000e+00],[  7.84942944e-01   9.85717579e+02   9.38196093e-02   0.00000000e+00],[  7.84942944e-01   9.85717579e+02   9.38196093e-02   0.00000000e+00],[  7.84942944e-01   9.85717579e+02   9.38196093e-02   0.00000000e+00],[  7.84942944e-01   9.85717579e+02   9.38196093e-02   0.00000000e+00],[  5.54051106e-01   7.41449879e+02   9.66777105e-02   1.74096440e-03]
[  8.50083165e-01   2.07097786e+03   1.28086526e-01   0.00000000e+00],[  8.50083165e-01   2.07097786e+03   1.28086526e-01   0.00000000e+00],[  8.50083165e-01   2.07097786e+03   1.28086526e-01   0.00000000e+00],[  8.50083165e-01   2.07097786e+03   1.28086526e-01   0.00000000e+00],[  8.50083165e-01   2.07097786e+03   1.28086526e-01   0.00000000e+00],[  5.18534152e-01   1.11043943e+03   1.21097860e-01   0.00000000e+00]
[  7.68067101e-01   1.54419089e+03   3.60797046e-02   6.50149471e-02],[  7.68067101e-01   1.54419089e+03   3.60797046e-02   6.50149471e-02],[  6.52812474e-01   3.99176490e+02   8.36990954e-02   4.78011586e+00],[  7.68067101e-01   1.54419089e+03   3.60797046e-02   6.50149471e-02],[  6.52812474e-01   3.99176490e+02   8.36990954e-02   4.78011586e+00],[  6.45624297e-01   1.22964766e+03   3.73049294e-02   3.41253309e-01]
[  8.05597368e-01   1.26379834e+03   1.06607257e-01   0.00000000e+00],[  8.05597368e-01   1.26379834e+03   1.06607257e-01   0.00000000e+00],[  5.88464481e-01   1.87757824e+02   5.00164809e-02   4.76110872e+00],[  8.05597368e-01   1.26379834e+03   1.06607257e-01   0.00000000e+00],[  5.88464481e-01   1.87757824e+02   5.00164809e-02   4.76110872e+00],[  8.05597368e-01   1.26379834e+03   1.06607257e-01   0.00000000e+00]
