,k-means,lwea,monti,mv
0,[  8.33415078e-01   2.81436355e+03   1.64155134e-01   2.71254967e-02],[  1.95735691e-01   6.71578329e+01   2.82087821e-02   6.66070630e+01],[  4.57180555e-01   2.07895590e+02   3.29085097e-02   2.57125261e+01],[  8.33415078e-01   2.81436355e+03   1.64155134e-01   2.71254967e-02]
1,[  8.46700389e-01   3.45318332e+03   6.18150253e-02   1.54325990e-02],[  6.33812189e-01   1.34893551e+03   3.32427203e-02   5.57024410e-01],[  3.27912110e-01   9.56264359e+01   2.74581596e-02   7.15489936e+00],[  8.46700389e-01   3.45318332e+03   6.18150253e-02   1.54325990e-02]
2,[  7.94782292e-01   2.31199067e+03   4.82771917e-02   3.97049850e-02],[  7.56970785e-01   1.72636456e+03   3.66485033e-02   2.39698553e-01],[  2.01914590e-01   4.80779099e+01   2.42139390e-02   8.16919485e+00],[  7.94782292e-01   2.31199067e+03   4.82771917e-02   3.97049850e-02]
3,[  8.92728016e-01   7.31363522e+03   4.24045042e-02   0.00000000e+00],[  2.73524375e-01   8.49415368e+01   2.52155667e-02   4.26026075e+01],[  5.35314121e-01   2.44310424e+02   2.46733600e-02   1.56210060e+01],[  8.92728016e-01   7.31363522e+03   4.24045042e-02   0.00000000e+00]
4,[  7.62430684e-01   3.83270849e+03   3.82242883e-02   8.44693729e-02],[  3.12021052e-01   1.82741198e+02   1.54531569e-02   2.07206938e+00],[  3.88904336e-01   1.38376220e+02   1.98613721e-02   4.86722183e+00],[  7.62430684e-01   3.83270849e+03   3.82242883e-02   8.44693729e-02]
5,[   0.49130388  301.30876557    0.36665188   17.87619771],[  1.27828189e-01   2.95189337e+01   2.32277838e-01   2.94312067e+02],[  0.26375851  91.04240802   0.16656293  79.17155788],[   0.2573907   121.3608419     0.18528476   33.42551579]
6,[  5.52591945e-01   5.60399924e+02   3.14905604e-01   1.44248942e+00],[  2.82145847e-01   2.53672297e+02   1.19778841e-01   2.57412404e+00],[  0.27644728  78.2144885    0.13488009  13.13505305],[  4.95572743e-01   4.62197154e+02   2.25709177e-01   1.13771269e+00]
7,[  6.02253696e-01   3.80157675e+02   1.78279120e-05   7.98054651e-05],[  3.55226252e-01   1.14411146e+02   8.89089793e-06   3.43924033e-04],[  1.77488820e-01   3.89541426e+01   8.78858002e-06   2.19212504e-03],[  4.66677503e-01   2.31533527e+02   1.17647739e-05   1.41054578e-04]
8,[  5.71138194e-01   5.61815658e+02   1.12136275e-03   1.33113389e-02],[  3.71276222e-01   2.08690907e+02   1.28299995e-03   3.06313817e-02],[  2.29832783e-01   7.47960012e+01   1.02299608e-03   1.07073715e-01],[  5.22919876e-01   4.90971616e+02   2.29284602e-03   9.27237639e-03]
9,[   0.35097638  106.41447752    0.69716597    5.6367591 ],[  0.14515709  66.43510061   0.58473651   5.77657748],[  0.1900457   49.53215326   1.25427586  41.9026435 ],[  0.2734964   84.03886988   0.62710969  10.19983463]
